Number of runs for each test case: 10
Graph size: 16
-----------------------------------------
Threads   Average execution time   Improvement koefficient
1         0.43630                  1.00000   
2         0.26440                  1.65015   
3         0.21600                  2.01991   
4         0.16030                  2.72177   
6         0.15310                  2.84977   
8         0.13240                  3.29532   
10        0.14290                  3.05318   
12        0.15070                  2.89516   
16        0.16230                  2.68823   
24        0.17870                  2.44152   
32        0.16350                  2.66850   
48        0.14660                  2.97613   
64        0.15630                  2.79143   
92        0.17830                  2.44700   
128       0.20530                  2.12518   
256       0.34840                  1.25230   
