Number of runs for each test case: 9
Graph size: 17
-----------------------------------------
Threads   Average execution time   Improvement koefficient
1         1.07100                  1.00000   
2         0.65267                  1.64095   
3         0.51922                  2.06271   
4         0.42067                  2.54594   
6         0.38467                  2.78420   
8         0.32889                  3.25641   
10        0.34556                  3.09932   
12        0.34100                  3.14076   
16        0.31400                  3.41083   
24        0.30756                  3.48225   
32        0.28456                  3.76371   
48        0.30156                  3.55153   
64        0.30522                  3.50894   
92        0.33333                  3.21303   
128       0.36700                  2.91826   
256       0.52100                  2.05566   
