Number of runs for each test case: 6
Graph size: 19
-----------------------------------------
Threads   Average execution time   Improvement koefficient
1         6.82333                  1.00000   
2         3.88017                  1.75851   
3         3.24200                  2.10467   
4         2.67783                  2.54808   
6         2.31617                  2.94595   
8         1.96550                  3.47155   
10        2.00983                  3.39498   
12        1.89700                  3.59691   
16        1.85817                  3.67207   
24        1.80750                  3.77501   
32        1.73983                  3.92184   
48        1.82067                  3.74770   
64        1.78517                  3.82223   
92        1.88767                  3.61468   
128       1.84267                  3.70296   
256       2.07983                  3.28072   
