Number of runs for each test case: 8
Graph size: 18
-----------------------------------------
Threads   Average execution time   Improvement koefficient
1         2.65600                  1.00000   
2         1.65675                  1.60314   
3         1.35663                  1.95779   
4         1.13850                  2.33289   
6         0.95775                  2.77317   
8         0.93200                  2.84979   
10        0.90888                  2.92228   
12        0.85700                  3.09918   
16        0.80713                  3.29067   
24        0.74488                  3.56568   
32        0.74538                  3.56328   
48        0.75525                  3.51672   
64        0.76400                  3.47644   
92        0.78050                  3.40295   
128       0.81425                  3.26190   
256       0.96513                  2.75196   
