Number of runs for each test case: 5
Graph size: 20
-----------------------------------------
Threads   Average execution time   Improvement koefficient
1         15.70660                 1.00000   
2         9.36520                  1.67712   
3         7.50840                  2.09187   
4         5.95920                  2.63569   
6         5.50420                  2.85357   
8         4.71220                  3.33318   
10        4.46840                  3.51504   
12        4.50440                  3.48695   
16        4.43640                  3.54039   
24        4.46220                  3.51992   
32        3.96080                  3.96551   
48        4.14120                  3.79277   
64        4.18200                  3.75576   
92        4.36440                  3.59880   
128       4.25020                  3.69550   
256       4.43360                  3.54263   
