Number of runs for each test case: 3
Graph size: 21
-----------------------------------------
Threads   Average execution time   Improvement koefficient
1         37.50167                 1.00000   
2         23.29333                 1.60997   
3         18.12600                 2.06894   
4         15.09933                 2.48366   
6         13.88900                 2.70010   
8         12.12667                 3.09250   
10        12.03500                 3.11605   
12        11.75333                 3.19073   
16        11.50100                 3.26073   
24        11.48900                 3.26414   
32        11.05167                 3.39330   
48        11.13067                 3.36922   
64        11.40900                 3.28703   
92        11.20733                 3.34617   
128       11.42233                 3.28319   
256       11.82733                 3.17076   
